MID;TITLE;YEAR
839;Hulk;2003
840;What a Girl Wants;2003
841;Spy Kids 2: Island of Lost Dreams;2002
842;Daredevil;2003
843;The Medallion;2003
844;Ghost Ship;2002
845;28 Days Later...;2002
846;Red Dragon;2002
847;Analyze That;2002
848;The Butterfly Effect;2004
849;The Life of David Gale;2003
850;Meet the Fockers;2004
851;The Tuxedo;2002
852;X2;2003
853;Mean Machine;2001
854;Pulse: A Stomp Odyssey;2002
855;The Rules of Attraction;2002
856;The Phantom of the Opera;2004
857;Rush Hour 3;2007
858;Tian mai zhuan qi;2002
859;The Transporter;2002
860;Rent;2005
861;Austin Powers in Goldmember;2002
862;Harry Potter and the Chamber of Secrets;2002
863;xXx;2002
864;The Chronicles of Riddick;2004
865;Mindhunters;2004
866;The Ring;2002
867;Shrek 2;2004
868;8 Mile;2002
869;Whale Rider;2002
870;The Core;2003
871;Home on the Range;2004
872;Chicago;2002
873;Ying xiong;2002
874;I Capture the Castle;2003
875;Shanghai Knights;2003
876;Blue Crush;2002
877;Timeline;2003
878;Dirty Pretty Things;2002
879;Good Bye Lenin!;2003
880;Inspector Gadget 2;2003
881;Jeepers Creepers II;2003
882;Le peuple migrateur;2001
883;Old School;2003
884;El segundo nombre;2002
885;Barbershop;2002
886;Cabin Fever;2002
887;Harry Potter and the Prisoner of Azkaban;2004
888;Mona Lisa Smile;2003
889;The Santa Clause 2;2002
890;Anger Management;2003
891;Charlie's Angels: Full Throttle;2003
892;Bringing Down the House;2003
893;Just Married;2003
894;Scary Movie 3;2003
895;Cradle 2 the Grave;2003
896;The Lizzie McGuire Movie;2003
897;Shark Tale;2004
898;Bad Santa;2003
899;Bobby;2006
900;Happily N'Ever After;2006
901;The Human Stain;2003
902;Finding Neverland;2004
903;Down with Love;2003
904;Final Destination 2;2003
905;Identity;2003
906;Luther;2003
907;Willard;2003
908;Fukushû sha ni awaremi wo;2002
909;Bowling for Columbine;2002
910;Confidence;2003
911;Master and Commander: The Far Side of the World;2003
912;Holes;2003
913;The League of Extraordinary Gentlemen;2003
914;Pieces of April;2003
915;The Curse of the Were-Rabbit;2005
916;Against the Ropes;2004
917;The Cat in the Hat;2003
918;Veronica Guerin;2003
919;Runaway Jury;2003
920;Two Weeks Notice;2002
921;Agent Cody Banks;2003
922;Gojira X Mekagojira;2002
923;Love Actually;2003
924;Tears of the Sun;2003
925;Ball & Chain;2004
926;Bruce Almighty;2003
927;Open Range;2003
928;Peter Pan;2003
929;Spider-Man 2;2004
930;Bridget Jones: The Edge of Reason;2004
931;Cars;2006
932;Cidade de Deus;2002
933;Daddy Day Care;2003
934;Hidalgo;2004
935;The Incredibles;2004
936;The Italian Job;2003
937;Mission: Impossible III;2006
938;A Sound of Thunder;2005
939;Looney Tunes: Back in Action;2003
940;Resident Evil: Apocalypse;2004
941;Sahara;2005
942;The Alamo;2004
943;Big Fish;2003
944;The Day After Tomorrow;2004
945;Elf;2003
946;Gun!;2001
947;Kingdom of Heaven;2005
948;Underworld;2003
949;2 Fast 2 Furious;2003
950;Freaky Friday;2003
951;Jackass: The Movie;2002
952;Laws of Attraction;2004
953;Octane;2003
954;Piglet's Big Movie;2003
955;Shattered Glass;2003
956;Suspect Zero;2004
957;The Texas Chainsaw Massacre;2003
958;Lara Croft Tomb Raider: The Cradle of Life;2003
959;The Last Samurai;2003
960;Matchstick Men;2003
961;Pirates of the Caribbean: The Curse of the Black Pearl;2003
962;The Great Raid;2005
963;Mystic River;2003
964;Over the Hedge;2006
965;The Stepford Wives;2004
966;Around the World in 80 Days;2004
967;Catwoman;2004
968;Coraline;2009
969;Ella Enchanted;2004
970;The Rundown;2003
971;In the Wrong Hands;2002
972;Man on Fire;2004
973;Under the Tuscan Sun;2003
974;American Wedding;2003
975;Brother Bear;2003
976;Dumb and Dumberer: When Harry Met Lloyd;2003
977;Freddy vs. Jason;2003
978;Seabiscuit;2003
979;Torque;2004
980;xXx: State of the Union;2005
981;Harry Potter and the Goblet of Fire;2005
982;Scooby-Doo 2: Monsters Unleashed;2004
983;The Notebook;2004
984;Saved!;2004
985;The School of Rock;2003
986;Troy;2004
987;Intermission;2003
988;Garden State;2004
989;Legally Blonde 2: Red, White & Blonde;2003
990;The Ladykillers;2004
991;Lost in Translation;2003
992;The Passion of the Christ;2004
993;Starsky & Hutch;2004
994;Win a Date with Tad Hamilton!;2004
995;Wonderland;2003
996;13 Going on 30;2004
997;Barbershop 2: Back in Business;2004
998;Rugrats Go Wild;2003
999;Something's Gotta Give;2003
1000;Birth;2004
1001;Calendar Girls;2003
1002;Cellular;2004
1003;Live Free or Die Hard;2007
1004;The Haunted Mansion;2003
1005;Dirty Dancing: Havana Nights;2004
1006;Les invasions barbares;2003
1007;Paycheck;2003
1008;The Polar Express;2004
1009;Spy Kids 3-D: Game Over;2003
1010;Van Helsing;2004
1011;Mou gaan dou;2002
1012;The Aviator;2004
1013;A Series of Unfortunate Events;2004
1014;Hostage;2005
1015;Monster;2003
1016;Unleashed;2005
1017;Manderlay;2005
1018;Along Came Polly;2004
1019;50 First Dates;2004
1020;The Good Shepherd;2006
1021;I, Robot;2004
